Gene,ModuleA,pA,p.adjA,coefA,AUCA,ModuleH,pH,p.adjH,coefH,AUCH,ARank,HRank,RankSum,,A = anti-TNF
LAMP5,M6,0.179439947,0.414755464,-1.164027199,0.598484848,M6,0.46411374,0.787017176,-0.11775182,0.535384615,8452.5,6216,14668.5,,
RBM24,unassigned,0.923973199,0.966992814,0.041937694,0.520562771,unassigned,0.021716564,0.259959328,0.401326051,0.587179487,2591.5,12077,14668.5,,
WDFY4,M6,0.347455141,0.592040073,-1.092380316,0.590909091,M6,0.484868147,0.796485722,-0.032144443,0.539316239,7943.5,6722.5,14666,,
MCM3AP-AS1,unassigned,0.091675538,0.288102857,3.189105815,0.612554113,unassigned,0.518407984,0.815632852,-0.12548053,0.528888889,9369,5294.5,14663.5,,
WDSUB1,unassigned,0.419335381,0.65355987,0.504220584,0.456709957,unassigned,0.007405924,0.178759866,0.525140976,0.635042735,253.5,14409.5,14663,,
NUP62,M37,0.00781601,0.074872645,-4.24640437,0.681818182,M37,0.967430602,0.991346751,-0.001289568,0.502564103,12652,2009.5,14661.5,,
MRPS12,M19,0.468558323,0.69110595,-0.895916308,0.546536797,M19,0.14425698,0.526964772,0.057467901,0.566153846,4505.5,10155,14660.5,,
SLC5A5,unassigned,0.02101576,0.129123787,3.109470246,0.666666667,unassigned,0.669172912,0.884860444,2.116133439,0.508205128,12100,2555,14655,,
DDRGK1,unassigned,0.455746646,0.681417937,-1.162207917,0.519480519,unassigned,0.045284295,0.341676403,0.069286457,0.588034188,2515,12139,14654,,
RPTOR,unassigned,0.003161031,0.048178161,4.860266947,0.732683983,unassigned,0.798125322,0.934792003,-0.030285814,0.485470085,13898.5,755,14653.5,,
UBE2D4,unassigned,0.15934459,0.3897871,2.440234393,0.613636364,unassigned,0.594812793,0.855151844,0.088976246,0.528290598,9438.5,5215,14653.5,,
MRPS17,M19,0.817002648,0.911973155,-0.145202666,0.520562771,M19,0.127740707,0.506052455,0.172780323,0.587008547,2591.5,12059.5,14651,,
ZDHHC13,unassigned,0.007536012,0.073715129,3.362995572,0.685064935,unassigned,0.974512317,0.993610519,-0.001581836,0.501538462,12736.5,1914.5,14651,,
FAM168A,unassigned,0.530404579,0.737120836,-0.509374341,0.554112554,unassigned,0.292197436,0.674544531,-0.083194654,0.560683761,5116.5,9532.5,14649,,
CDKN1A,unassigned,0.752981779,0.877900935,0.211759158,0.537878788,unassigned,0.122213139,0.497222693,-0.006485186,0.572136752,3855,10793.5,14648.5,,
MS4A1,M6,0.168380601,0.401038532,-0.242893479,0.598484848,M6,0.563549504,0.837306554,-0.001915434,0.535213675,8452.5,6195.5,14648,,
FGD4,unassigned,0.084222833,0.276694261,1.090690689,0.63961039,unassigned,0.620009215,0.865427496,0.024735382,0.518119658,10884,3762.5,14646.5,,
KANSL3,unassigned,0.105597004,0.310517373,5.719518892,0.641774892,unassigned,0.684742229,0.892101469,0.02577499,0.517264957,10992,3654.5,14646.5,,
OAZ3,unassigned,0.100190726,0.302145247,-1.431772711,0.632575758,unassigned,0.795962891,0.933619974,0.086758453,0.520854701,10503.5,4141.5,14645,,
B3GAT2,unassigned,0.229792223,0.474393211,1.952580483,0.572510823,unassigned,0.583723571,0.849117733,0.724581026,0.549401709,6564,8080,14644,,
FLOT1,M27,0.15960378,0.390202825,-2.896259956,0.575757576,M27,0.472026944,0.791067139,-0.009995614,0.547350427,6837,7807,14644,,
FER1L5,M14,0.69155214,0.844192752,-0.607413912,0.51461039,M14,0.077662195,0.41213315,-5.06690473,0.592307692,2208.5,12435,14643.5,,
TAF1A,unassigned,0.029020171,0.153689651,-1.32908487,0.649350649,unassigned,0.691548822,0.894597337,-0.070313467,0.514017094,11382,3261,14643,,
CACNA1F,unassigned,0.263032061,0.509312863,1.087095188,0.590909091,unassigned,0.19784302,0.588814319,1.143405901,0.539145299,7943.5,6696.5,14640,,
TMEM18,unassigned,0.060910792,0.23030429,2.794041543,0.661255411,unassigned,0.865513259,0.959161382,0.012917519,0.50974359,11914,2726,14640,,
ATG4A,M20,0.477887052,0.699096487,-0.603112118,0.541666667,M20,0.244973472,0.634349916,-0.062958454,0.56974359,4129,10509.5,14638.5,,
HDAC6,unassigned,0.255189571,0.500046937,2.206231993,0.603896104,unassigned,0.53578861,0.823174067,0.016396547,0.532820513,8793.5,5844.5,14638,,
CCDC58,M19,0.880059959,0.945200621,0.05937462,0.527056277,M19,0.208016502,0.599386187,0.040905632,0.581196581,3043.5,11591.5,14635,,
SH3BP5-AS1,unassigned,0.977751076,0.990693209,0.029108278,0.494588745,unassigned,0.044804552,0.340094476,-0.145255744,0.608717949,1191,13442,14633,,
NEK10,unassigned,0.414071645,0.650122459,0.883298014,0.548701299,unassigned,0.275161454,0.660598934,-1.106507833,0.563931624,4696,9936,14632,,
TMEM143,unassigned,0.021689961,0.131287255,4.527521907,0.663419913,unassigned,0.929160463,0.980084869,0.014917389,0.509059829,11982,2649.5,14631.5,,
CYSLTR2,unassigned,0.113977857,0.323330377,2.009948464,0.632034632,unassigned,0.700460508,0.898943379,-0.09093182,0.520940171,10474.5,4156,14630.5,,
APOC1,unassigned,0.36105692,0.604477306,-0.469742439,0.596320346,unassigned,0.595932392,0.855916573,-0.004008512,0.536239316,8313.5,6314.5,14628,,
EYA1,unassigned,0.095290552,0.294406815,3.014388842,0.66017316,unassigned,0.707858551,0.902098883,0.855768148,0.51008547,11862,2765,14627,,
ELP5,unassigned,0.62270703,0.800252121,-0.502188697,0.529220779,unassigned,0.06842802,0.397635607,0.077119764,0.579316239,3187.5,11439,14626.5,,
INTS7,unassigned,0.360995655,0.604477306,-1.348858908,0.562770563,unassigned,0.386660261,0.744248637,-0.09427438,0.555128205,5820.5,8802.5,14623,,
ANKRD18A,unassigned,0.223376473,0.466859478,1.442670122,0.569805195,unassigned,0.226403137,0.617641684,0.329401247,0.550940171,6352.5,8268.5,14621,,
ANKAR,unassigned,0.004067831,0.054200049,8.088152049,0.708874459,unassigned,0.970617732,0.9923772,0.007665817,0.493333333,13399,1221.5,14620.5,,
MIR663AHG,unassigned,0.127539679,0.344745078,3.984415147,0.640692641,unassigned,0.345104495,0.717424285,0.001244727,0.517606838,10924.5,3696,14620.5,,
HSP90AB1,M37,0.126983292,0.344068942,-0.775147206,0.651515152,M37,0.745075683,0.916999838,0.00087973,0.512991453,11476.5,3143.5,14620,,
TRNP1,unassigned,0.036014672,0.173039876,-1.179415043,0.663419913,unassigned,0.986900922,0.995692911,-0.003162802,0.508888889,11982,2636.5,14618.5,,
SLC25A22,unassigned,0.663005589,0.826995631,0.331023829,0.558441558,unassigned,0.436465427,0.771863351,-0.045314996,0.557948718,5475,9143,14618,,
TMED8,M6,0.30217694,0.547889462,-1.225250472,0.558441558,M6,0.364154677,0.729419455,-0.106223673,0.557948718,5475,9143,14618,,
PRSS2,M11,0.590210037,0.779715175,0.162558419,0.536796537,M11,0.036391839,0.31863351,-0.034201518,0.572649573,3773.5,10842.5,14616,,
KIF5C,unassigned,0.520419725,0.730486557,1.145186656,0.537878788,unassigned,0.031684682,0.300889346,1.057346851,0.571452991,3897.5,10718,14615.5,,
LARP1,M35,0.039033458,0.180575665,-3.53231357,0.634199134,M35,0.461573414,0.784741154,-0.013096978,0.52,10596,4019.5,14615.5,,
RPS23,M38,0.931798134,0.970986525,-0.082093222,0.497835498,M38,0.034966128,0.313300037,0.002285147,0.605811966,1339,13276.5,14615.5,,
CCDC9,unassigned,0.418338121,0.653134423,1.128157168,0.562770563,unassigned,0.568864527,0.840859101,-0.031532598,0.555042735,5820.5,8794.5,14615,,
CKAP2L,unassigned,0.415351107,0.650962292,0.527005343,0.515151515,unassigned,0.072589406,0.404214758,-0.291578769,0.591623932,2240,12370,14610,,
SMAD7,unassigned,0.194074333,0.432730232,0.813896089,0.596320346,unassigned,0.147885249,0.531745482,0.079909662,0.536068376,8313.5,6295.5,14609,,
CDKL1,unassigned,0.202479499,0.442060366,1.442671016,0.562770563,unassigned,0.187993445,0.57772245,0.096039983,0.554957265,5820.5,8786,14606.5,,
SMAP1,M20,0.194155107,0.432742762,1.379812575,0.58982684,M20,0.236794636,0.626635622,0.034506021,0.539487179,7859,6745,14604,,
STK16,unassigned,0.950343029,0.9787223,-0.114121394,0.504329004,unassigned,0.065432075,0.392703128,0.103168385,0.600683761,1647.5,12955.5,14603,,
ALG5,unassigned,0.581696476,0.774266216,-0.46365656,0.57034632,unassigned,0.227115276,0.617914513,-0.032061077,0.55042735,6392,8210.5,14602.5,,
TRPM2,unassigned,0.074158414,0.256335276,-1.985578705,0.668831169,unassigned,0.834956264,0.948626205,-0.024526693,0.506666667,12201.5,2401,14602.5,,
TMEM14C,M17,0.809739721,0.908185686,-0.254939934,0.548701299,M17,0.066139463,0.393092201,0.033621027,0.563760684,4696,9905,14601,,
CLP1,unassigned,0.181261307,0.417126423,-2.646735703,0.62012987,unassigned,0.882078464,0.964850608,0.021130854,0.525299145,9807,4793,14600,,
CEACAM21,M6,0.959378733,0.982682215,0.058621138,0.531385281,M6,0.303163057,0.682223202,-0.077419576,0.577094017,3348,11251.5,14599.5,,
COG7,unassigned,0.315080381,0.560431902,0.764955802,0.566017316,unassigned,0.267706285,0.653830464,0.057565042,0.552820513,6090,8507,14597,,
NDEL1,unassigned,0.734410906,0.868733484,-0.457504975,0.536796537,unassigned,0.198908383,0.589416004,-0.036849361,0.572478632,3773.5,10822.5,14596,,
TCEAL3,M10,0.003501355,0.050917002,-2.402089883,0.764069264,M10,0.594683713,0.855035558,-0.051247546,0.471111111,14362.5,232,14594.5,,
C2CD5,unassigned,0.007164971,0.071938216,2.742619076,0.712121212,unassigned,0.613614128,0.862811317,0.016474289,0.491965812,13468.5,1122.5,14591,,
FAM193B,unassigned,0.24229406,0.487969688,1.537710661,0.573593074,unassigned,0.591801884,0.854076078,0.012074416,0.548034188,6682.5,7908,14590.5,,
KIAA2026,unassigned,0.172088074,0.406361403,2.311012248,0.604978355,unassigned,0.420810209,0.764446274,-0.06258869,0.531965812,8868.5,5721.5,14590,,
EVC2,M3,0.926891363,0.967829009,-0.171488682,0.54004329,M3,0.219681132,0.611317352,-0.920660915,0.57025641,3997,10591,14588,,
ABCC8,unassigned,0.0368097,0.175236009,2.705232022,0.653679654,unassigned,0.978967554,0.994779963,0.011289891,0.512136752,11566,3019.5,14585.5,,
AACSP1,M10,0.007707042,0.074292197,5.612584061,0.735930736,M10,0.841612755,0.950513705,-1.036541967,0.482222222,13970,613.5,14583.5,,
PEX7,M19,0.988298509,0.994794094,0.010308824,0.507575758,M19,0.055731338,0.368104863,0.221518838,0.597606838,1812,12771.5,14583.5,,
ADGRG4,unassigned,0.190821542,0.428959132,1.345652386,0.582251082,unassigned,0.116569613,0.487175854,154.2853787,0.543247863,7329.5,7253,14582.5,,
TIMM44,unassigned,0.245528288,0.491087799,1.392979666,0.563852814,unassigned,0.220984307,0.612288394,0.046194253,0.554188034,5897,8685.5,14582.5,,
HRG,unassigned,0.008484431,0.078088826,4.989570312,0.694805195,unassigned,0.611852385,0.862377796,-1.038192137,0.497606838,13019,1562.5,14581.5,,
PRTFDC1,unassigned,0.307588931,0.553291835,-0.483451714,0.555194805,unassigned,0.131195192,0.511604523,0.207439191,0.559487179,5212.5,9369,14581.5,,
DCPS,M6,0.587259478,0.777250896,-0.279504308,0.569264069,M6,0.532758966,0.822352525,-0.045825381,0.550940171,6312,8268.5,14580.5,,
MPP2,M8,0.374399209,0.616254202,1.025060774,0.57034632,M8,0.149801514,0.53307613,1.297073798,0.55025641,6392,8187.5,14579.5,,
DDIAS,unassigned,0.854713358,0.931965289,-0.130539388,0.495670996,unassigned,0.022460579,0.262845072,-0.469891453,0.606666667,1251.5,13327.5,14579,,
MTERF3,unassigned,0.021911065,0.131969133,-1.634698136,0.685064935,unassigned,0.908774044,0.973385394,0.010967224,0.500683761,12736.5,1842.5,14579,,
SPM82,unassigned,0.213316268,0.455072777,1.916683706,0.590909091,unassigned,0.467486566,0.788898535,0.037413533,0.538632479,7943.5,6635.5,14579,,
STRN,unassigned,0.026532669,0.14725912,3.2330035,0.686147186,unassigned,0.849815604,0.954033089,-0.010479307,0.50034188,12773.5,1803.5,14577,,
GPATCH2L,unassigned,0.877472146,0.943738385,-0.244789081,0.522727273,unassigned,0.071335803,0.403152802,-0.163239906,0.584444444,2732.5,11844,14576.5,,
ZNF497,unassigned,0.603356547,0.787764184,0.835350253,0.542207792,unassigned,0.111170054,0.476623473,1.662992341,0.568632479,4178.5,10397.5,14576,,
HOXA4,unassigned,0.32932774,0.573890905,-1.126837195,0.571428571,unassigned,0.171100574,0.556971612,0.660797949,0.54957265,6469.5,8104.5,14574,,
ZNF639,unassigned,0.104916686,0.309428678,-1.836427259,0.573593074,unassigned,0.406762961,0.756622324,-0.057521117,0.548205128,6637,7935,14572,,
CHST10,M20,0.74888395,0.875963483,0.390298192,0.521645022,M20,0.228391347,0.618526313,-0.482957759,0.585042735,2669,11900,14569,,
RFXANK,unassigned,0.321077876,0.56597937,-0.952260544,0.583874459,unassigned,0.23812172,0.62725548,0.039085655,0.542222222,7451,7115,14566,,
CCDC61,unassigned,0.917456811,0.963831002,-0.173021817,0.503246753,unassigned,0.020228783,0.252910052,0.267163489,0.600854701,1593,12969,14562,,
HDHD2,unassigned,0.396573352,0.635479989,0.940295538,0.551948052,unassigned,0.158675358,0.542278513,0.082279043,0.561367521,4940.5,9621.5,14562,,
ANKRD37,unassigned,0.834407776,0.921042248,0.107626557,0.516233766,unassigned,0.051373614,0.357207948,-0.107250766,0.59042735,2275,12286.5,14561.5,,
CDC73,unassigned,0.079750488,0.268253641,-2.15838782,0.609307359,unassigned,0.474048102,0.791786671,-0.060921084,0.53,9124.5,5435.5,14560,,
PRPSAP2,unassigned,0.16231297,0.393559535,-1.447799013,0.595238095,unassigned,0.486514972,0.797601759,0.03776775,0.536239316,8245,6314.5,14559.5,,
MFSD9,M20,0.212485462,0.45403318,1.122120151,0.603896104,M20,0.44494158,0.776686102,0.055448785,0.532307692,8793.5,5765.5,14559,,
NRXN2,M8,0.044456394,0.193645699,2.315829285,0.643939394,M8,0.719960155,0.906902379,0.116776262,0.515555556,11114.5,3441,14555.5,,
SPECC1L,unassigned,0.06681277,0.242277306,1.489063082,0.643939394,unassigned,0.685908627,0.892591138,0.022195514,0.515555556,11114.5,3441,14555.5,,
ANKRD27,unassigned,0.451410032,0.678279365,0.69229836,0.557359307,unassigned,0.392193234,0.74695654,0.06902009,0.558119658,5386.5,9167.5,14554,,
SCN3A,unassigned,0.621546135,0.799435699,-0.563895583,0.525974026,unassigned,0.071833182,0.403402791,-0.898009162,0.581282051,2955,11598,14553,,
RSL1D1,unassigned,0.056357884,0.221170949,-1.642591184,0.619047619,unassigned,0.579114245,0.846996358,0.009400481,0.525299145,9758.5,4793,14551.5,,
NLRC5,M7,0.993626201,0.997156863,-0.004519007,0.511904762,M7,0.132412631,0.512686932,-0.019745977,0.593162393,2055,12495.5,14550.5,,
CHRNA1,unassigned,0.686908007,0.841396779,0.608057902,0.571428571,unassigned,0.115533496,0.485246154,1.448241414,0.549401709,6469.5,8080,14549.5,,
TPCN1,unassigned,0.021762689,0.131357248,5.11395261,0.675324675,unassigned,0.754481861,0.920752258,0.0072308,0.503760684,12434.5,2115,14549.5,,
DTD2,unassigned,0.23612619,0.481403609,-0.9668957,0.609307359,unassigned,0.795801276,0.933619974,0.036949652,0.52957265,9165.5,5383.5,14549,,
C7orf50,unassigned,0.944232319,0.976772782,-0.093098743,0.503246753,unassigned,0.035687926,0.315937871,0.0962416,0.600683761,1593,12955.5,14548.5,,
MIF4GD,M6,0.597304112,0.78421847,-0.702591826,0.503246753,M6,0.025984378,0.281262263,0.144303067,0.600683761,1593,12955.5,14548.5,,
CASC1,unassigned,0.013651468,0.101314214,7.517753214,0.703463203,unassigned,0.340788181,0.713277615,1.449530671,0.494273504,13264.5,1279,14543.5,,
PABPC1,unassigned,0.219450708,0.462493004,-2.452350508,0.603896104,unassigned,0.251188249,0.639083713,0.001515911,0.532136752,8793.5,5747,14540.5,,
ZNF862,unassigned,0.07708354,0.262369611,1.682191984,0.625541126,unassigned,0.684115714,0.892101469,0.044832868,0.522478632,10138.5,4401.5,14540,,
MROH8,unassigned,0.125165834,0.341404746,2.755730557,0.590909091,unassigned,0.349869904,0.719907442,-0.532872977,0.538290598,7943.5,6596,14539.5,,
SFTA1P,unassigned,0.877498499,0.943738385,0.192134591,0.544372294,unassigned,0.218858663,0.610520722,0.224241847,0.566495726,4351.5,10188,14539.5,,
PLD6,unassigned,0.300590223,0.546587702,1.428986972,0.551948052,unassigned,0.158225132,0.541953683,-0.829557353,0.561196581,4940.5,9598.5,14539,,
AKNAD1,unassigned,0.579772751,0.77255554,-1.772047302,0.553030303,unassigned,0.157991911,0.541922447,2.904221373,0.560683761,5006,9532.5,14538.5,,
RPAIN,unassigned,0.098560206,0.299529942,3.85256113,0.591991342,unassigned,0.376393962,0.73622991,0.063967285,0.537777778,8018,6518.5,14536.5,,
ZFP1,unassigned,0.196960714,0.436024011,-2.496624911,0.623376623,unassigned,0.686990442,0.893017104,-0.080659307,0.523418803,10008.5,4527.5,14536,,
ADGRL1,unassigned,0.002750358,0.045454498,5.193799644,0.732683983,unassigned,0.528366982,0.820029623,0.066791801,0.482735043,13898.5,637,14535.5,,
MAN1A2,unassigned,0.262529062,0.508850231,-1.997431255,0.572510823,unassigned,0.287650525,0.671239164,-0.054830617,0.548461538,6564,7971,14535,,
FMOD,M10,0.067207346,0.243068371,-0.973084245,0.638528139,M10,0.606519522,0.860221408,-0.008345158,0.517606838,10833.5,3696,14529.5,,
SPAG1,M16,0.744557031,0.874043573,0.074309169,0.576839827,M16,0.448729018,0.778141639,0.026753551,0.545811966,6918.5,7608.5,14527,,
RAD51,unassigned,0.184988955,0.421863068,1.631028359,0.613636364,unassigned,0.877795005,0.963267084,-0.009141445,0.527350427,9438.5,5086.5,14525,,
VSTM4,M10,0.24261671,0.48826858,-2.002088797,0.572510823,M10,0.468651574,0.789661655,-0.123118561,0.548376068,6564,7961,14525,,
EXD1,unassigned,0.956561037,0.981521857,0.127005583,0.541125541,unassigned,0.079189591,0.415283041,-7.33498562,0.568974359,4092.5,10431.5,14524,,
ZBED6CL,unassigned,0.233919017,0.478827723,1.285448471,0.595238095,unassigned,0.379434022,0.739151288,-0.138303754,0.535897436,8245,6278,14523,,
PSMB6,M29,0.135133526,0.35543733,-1.661826671,0.594155844,M29,0.243165623,0.632922729,0.016407096,0.536581197,8155.5,6366.5,14522,,
ZKSCAN3,unassigned,0.046343302,0.197864764,5.351319313,0.653679654,unassigned,0.802772705,0.937030018,0.105577473,0.511709402,11566,2956,14522,,
FCHO1,unassigned,0.560406381,0.75825901,-0.636331087,0.544372294,unassigned,0.238124438,0.62725548,-0.089519057,0.566324786,4351.5,10169.5,14521,,
DNASE2,unassigned,0.066613462,0.24200854,-2.23364784,0.637445887,unassigned,0.5673799,0.839729737,0.018516358,0.517948718,10779.5,3739,14518.5,,
ENTPD3-AS1,unassigned,0.730859043,0.867122112,-0.615957671,0.456709957,unassigned,0.004946413,0.166713687,0.834898589,0.62974359,253.5,14264,14517.5,,
PABPN1,unassigned,0.139757035,0.362985205,0.98799545,0.607142857,unassigned,0.384049004,0.743173361,0.014155035,0.53025641,9041.5,5474,14515.5,,
SNF8,M19,0.859786675,0.934271821,-0.24794777,0.523809524,M19,0.074308814,0.406160135,0.03249972,0.582735043,2807.5,11708,14515.5,,
SLIRP,M19,0.922477182,0.966395019,-0.065713731,0.496753247,M19,0.030567798,0.297478496,0.0199271,0.605128205,1268,13246,14514,,
PKN1,unassigned,0.097305314,0.297722737,-1.163432703,0.623376623,unassigned,0.902749844,0.971950228,-0.004432305,0.523247863,10008.5,4505,14513.5,,
GNAZ,M8,0.105684485,0.310712386,1.998755023,0.616883117,M8,0.512618802,0.812069843,-0.544152499,0.525811966,9642.5,4870.5,14513,,
NUF2,unassigned,0.881789762,0.946140925,-0.061128502,0.527056277,unassigned,0.176297376,0.563548061,-0.109283164,0.58,3009,11503.5,14512.5,,
VDAC3,M17,0.113690299,0.323019276,1.349068164,0.593073593,M17,0.269418176,0.655358807,0.014385785,0.536923077,8097,6414,14511,,
SLC4A2,unassigned,0.284871747,0.53001624,-1.031463024,0.58982684,unassigned,0.482271656,0.795079009,0.016576276,0.538803419,7859,6649,14508,,
EIF2AK4,unassigned,0.212588931,0.454075406,-1.045927925,0.588744589,unassigned,0.259781657,0.64693801,0.069580999,0.539316239,7783.5,6722.5,14506,,
ANAPC13,unassigned,0.572183694,0.767514696,-1.106524716,0.579004329,unassigned,0.508311116,0.809450464,0.023978109,0.544615385,7073.5,7431,14504.5,,
FBXO18,unassigned,0.524372127,0.732888126,1.090080436,0.568181818,unassigned,0.686109314,0.892591138,-0.009574303,0.550940171,6235.5,8268.5,14504,,
SLC27A5,M38,0.196630691,0.435632825,2.022073603,0.575757576,M38,0.36260477,0.728718157,0.188179805,0.546153846,6837,7666.5,14503.5,,
C12orf75,unassigned,0.542686695,0.746668915,-0.146605702,0.522727273,unassigned,0.154444418,0.53843534,0.022221148,0.583589744,2732.5,11770,14502.5,,
TSR1,unassigned,0.068833251,0.245971687,-1.895127489,0.619047619,unassigned,0.537436871,0.823670335,-0.048673868,0.524957265,9758.5,4743.5,14502,,
SURF2,unassigned,0.626152783,0.80245906,-0.507086788,0.5,unassigned,0.042779561,0.335374364,0.211568655,0.602393162,1430,13067,14497,,
ANG,M20,0.148618046,0.375405776,0.952654639,0.581168831,M20,0.522388733,0.817426172,0.008999727,0.543418803,7220.5,7272.5,14493,,
ADSSL1,unassigned,0.539056671,0.744103299,0.799441807,0.545454545,unassigned,0.223321129,0.615208097,0.257850764,0.565299145,4429.5,10063,14492.5,,
OR3A3,unassigned,0.31650067,0.561497748,1.318961507,0.598484848,unassigned,0.091748252,0.441887254,27.14800711,0.534188034,8452.5,6040,14492.5,,
SF3A3,unassigned,0.285308895,0.530384297,-1.083582951,0.575757576,unassigned,0.490607243,0.799334418,-0.019223461,0.546153846,6837,7652.5,14489.5,,
PCDHB1,M14,0.201223916,0.440508139,1.42504457,0.561688312,M14,0.218989728,0.610520722,2.502050426,0.554786325,5724.5,8764.5,14489,,
GCNT4,M11,0.112834981,0.321285557,1.326377568,0.590909091,M11,0.278811706,0.662971031,0.381403708,0.537948718,7943.5,6545,14488.5,,
OCIAD2,M20,0.904001245,0.957506145,0.07870191,0.498917749,M20,0.050225816,0.355110067,0.026357665,0.602905983,1383,13102,14485,,
ZCCHC17,unassigned,0.065672413,0.239922975,-2.27154249,0.623376623,unassigned,0.580907004,0.847661717,0.048371511,0.523076923,10008.5,4476,14484.5,,
GABARAP,M38,0.858181643,0.933599335,0.240096636,0.485930736,M38,0.017954078,0.244603991,0.010106927,0.611794872,890,13590.5,14480.5,,
RPS8,M38,0.680927755,0.837855954,0.550681058,0.507034632,M38,0.029315479,0.292511759,0.002560726,0.596239316,1782.5,12691,14473.5,,
RNASE6,M6,0.016336149,0.112121177,-1.054468967,0.696428571,M6,0.791733376,0.931627103,0.007101718,0.495555556,13079,1392.5,14471.5,,
C5orf17,unassigned,0.845460184,0.927413979,-0.089377132,0.653679654,unassigned,0.498080648,0.803719201,-0.281335179,0.511282051,11566,2904.5,14470.5,,
HGD,M20,0.302640524,0.548413916,0.750790538,0.561688312,M20,0.408484284,0.757191082,-0.018401006,0.554615385,5724.5,8746,14470.5,,
TMEM239,unassigned,0.552511409,0.753006841,0.957735811,0.543290043,unassigned,0.090721474,0.440645753,-12.53801298,0.566666667,4262,10205,14467,,
ARFRP1,unassigned,0.483442666,0.703429204,0.723584818,0.568181818,unassigned,0.271860188,0.65817025,-0.03433244,0.550598291,6235.5,8230.5,14466,,
FAM83G,M20,0.069017427,0.246329726,2.013847223,0.638528139,M20,0.706700043,0.901184945,0.033718167,0.517094017,10833.5,3632,14465.5,,
ANKRD49,unassigned,0.218334756,0.461150447,1.380746559,0.617965368,unassigned,0.460705393,0.78425755,-0.065636704,0.525128205,9698.5,4764.5,14463,,
ZPR1,unassigned,0.099831274,0.301571087,-1.765728346,0.623376623,unassigned,0.671101429,0.886131834,-0.021161788,0.522905983,10008.5,4454.5,14463,,
CPEB1-AS1,unassigned,0.021335443,0.130273754,4.235617178,0.703463203,unassigned,0.464904477,0.787349101,-2.635860613,0.493076923,13264.5,1198,14462.5,,
SLC46A3,M25,0.078740444,0.266006278,0.685464214,0.632034632,M25,0.606444753,0.860221408,0.012912533,0.51974359,10474.5,3987,14461.5,,
C2orf50,unassigned,0.20160738,0.440734188,1.616106892,0.595238095,unassigned,0.356908489,0.724584677,-2.62924843,0.535384615,8245,6216,14461,,
GRIN2A,unassigned,0.232516515,0.477599095,3.459857101,0.583333333,unassigned,0.104392558,0.463934963,5.409566369,0.541709402,7411,7050,14461,,
DRD5,unassigned,0.134117823,0.35430622,1.292106279,0.63961039,unassigned,0.813316651,0.939420228,1.980100198,0.516666667,10884,3576,14460,,
PRRT3,unassigned,0.130679358,0.34887216,-2.283841576,0.597943723,unassigned,0.299735303,0.680181488,-1.029622859,0.534188034,8418,6040,14458,,
SLC33A1,unassigned,0.154551172,0.382764193,-1.198519645,0.561688312,unassigned,0.252654116,0.640684164,-0.040554806,0.554529915,5724.5,8733,14457.5,,
MPP4,unassigned,0.055350376,0.218142336,5.184530416,0.637445887,unassigned,0.815682233,0.940042776,-0.725383358,0.517435897,10779.5,3676.5,14456,,
CYSTM1,M20,0.826292816,0.916515647,0.175488573,0.478354978,M20,0.010092355,0.201404358,0.016646587,0.616752137,648,13801.5,14449.5,,
PAM16,unassigned,0.764920461,0.883921504,0.331434106,0.531385281,unassigned,0.224157352,0.616309807,0.057515111,0.575384615,3348,11099,14447,,
FRMD8,unassigned,0.992086206,0.996457467,0.014956123,0.507575758,unassigned,0.096355848,0.448909955,-0.092808048,0.595213675,1812,12631.5,14443.5,,
EHD4,M20,0.688026969,0.842217014,0.447930268,0.553030303,M20,0.290963618,0.673813587,-0.023869615,0.55965812,5048.5,9394.5,14443,,
C20orf196,unassigned,0.147718819,0.374330481,1.422824,0.588744589,unassigned,0.362915465,0.728963824,-0.142579861,0.538803419,7783.5,6658.5,14442,,
MRPL17,M28,0.174556262,0.409144468,-1.052223279,0.611471861,M28,0.565439463,0.838615601,-0.020221966,0.527692308,9310,5130,14440,,
ZNF843,unassigned,0.050467323,0.208401295,2.772424186,0.627705628,unassigned,0.373812944,0.735074327,1.846732492,0.521025641,10276,4164,14440,,
PLXNA4,unassigned,0.587051539,0.777054083,1.027265737,0.46969697,unassigned,0.0058572,0.171853343,-3.423046743,0.621196581,455,13984,14439,,
ENPP5,unassigned,0.155103511,0.383562166,0.789498058,0.583333333,unassigned,0.269108146,0.655301164,0.263634524,0.541538462,7411,7027,14438,,
COMMD3,unassigned,0.101542843,0.304450666,-1.76193727,0.609307359,unassigned,0.530321064,0.821266236,-0.020666621,0.528717949,9165.5,5268.5,14434,,
HDAC1,M20,0.237126402,0.482565135,0.739956254,0.609307359,M20,0.477786157,0.792520853,0.004029489,0.528717949,9165.5,5268.5,14434,,
NCALD,M26,0.680926605,0.837855954,-0.396429273,0.524891775,M26,0.655198435,0.880247012,-0.058312225,0.580683761,2877.5,11554,14431.5,,
TMEM167B,unassigned,0.679762983,0.837208672,0.480015135,0.532467532,unassigned,0.278290039,0.662881791,0.047260242,0.574188034,3430,11001.5,14431.5,,
TMEM147-AS1,unassigned,0.178429418,0.413366389,2.561377694,0.582251082,unassigned,0.338293614,0.711875573,-0.214923036,0.542136752,7329.5,7100,14429.5,,
